licence_ref,description,lcensee_name,trading_name,address_1,address_2,address_3,county
1004377,Marked Fuel Trader's Licence                                                                        ,LAVEY SERVICE STATION LTD,LAVEY SERVICE STATION LTD,KNOCKANORK,DUBLIN ROAD,STRADORE,CO. CAVAN
1005912,Marked Fuel Trader's Licence                                                                        ,KIERAN'S SERVICE STATION LIMITED,NA,DUBLIN ROAD,CAVAN,NA,CO. CAVAN
1004134,Marked Fuel Trader's Licence                                                                        ,KANYA LIMITED,CENTRA,ARDLO MANOR,MULLAGH,NA,CO. CAVAN
1006079,Marked Fuel Trader's Licence                                                                        ,JOSEPH MEL MC LOUGHLIN,MELROSE INN,DOWRA,NA,NA,CO. CAVAN
1003930,Marked Fuel Trader's Licence                                                                        ,JONES OIL LTD,NA,FARNHAM ROAD,CAVAN,NA,CO. CAVAN
1004728,Marked Fuel Trader's Licence                                                                        ,JOE BRADY & TIMOTHY BARRY,LARAGH HOUSE,STRADONE,NA,NA,CO. CAVAN
1006252,Marked Fuel Trader's Licence                                                                        ,JASON OREILLY SERVICES KILNALECK LTD,JASON OREILLY SERVICES KILNALECK,MAIN STREET,KILNALECK,NA,CO. CAVAN
1005522,Marked Fuel Trader's Licence                                                                        ,GOULD'S TIMBER PRODUCTS LIMITED,GOULD'S TIMBER PRODUCTS LTD,CROSSDONEY,BALLINAGH,NA,CO. CAVAN
1008008,Marked Fuel Trader's Licence                                                                        ,GORDON P MC CORMACK,MC CORMACK OILS,DUBLIN ROAD,KINGSCOURT,NA,CO. CAVAN
1006017,Marked Fuel Trader's Licence                                                                        ,GERARD SMITH,NA,MOUNTNUGENT,NA,NA,CO. CAVAN
1005886,Marked Fuel Trader's Licence                                                                        ,GARETH CASSIDY & STEPHEN CASSIDY,CASSIDY'S SERVICE STATION,DERRYLIN  ROAD,BALLYCONNELL,NA,CO. CAVAN
1007066,Marked Fuel Trader's Licence                                                                        ,EUGENE SMITH AND TARA SMITH,EUGENE SMITH AND TARA SMITH,KILNALECK,NA,NA,CO. CAVAN
1011741,Marked Fuel Trader's Licence                                                                        ,ERINACK LIMITED,NA,KILNACREEVA,STRADONE,NA,CO. CAVAN
1005228,Marked Fuel Trader's Licence                                                                        ,DOBSONS (ARVA) LTD,DOBSONS (ARVA) LTD,BALLINAGH ROAD,ARVA,NA,CO. CAVAN
1004892,Marked Fuel Trader's Licence                                                                        ,DENNING FARM SUPPLIES LIMITED,DENNING FARM SUPPLIES,CARRICKALLEN,MOUNTAIN LODGE,COOTEHILL,CO. CAVAN
1006998,Marked Fuel Trader's Licence                                                                        ,CK 6 FUELS LIMITED,NA,DUBLIN ROAD,CAVAN,NA,CO. CAVAN
1005015,Marked Fuel Trader's Licence                                                                        ,CIARAN LYNCH,CIARAN LYNCH AMERICAN STORES,LISDUFF,VERGINIA,NA,CO. CAVAN
1005864,Marked Fuel Trader's Licence                                                                        ,BARRY SHERIDAN,GROUSEHALL STORES,LOUGHDUFF,NA,NA,CO. CAVAN
1004168,Marked Fuel Trader's Licence                                                                        ,BARRACK STREET SERVICE STATION LTD,BARRACK STREET SERVICE STATION LTD,BARRACK STREET,BAILIEBORO,NA,CO. CAVAN
1004337,Marked Fuel Trader's Licence                                                                        ,BALLYJAMESDUFF MART LTD (CO OP),BALLYJAMESDUFF COOP LIVESTOCK MART LTD,ROMONAN,BALLYJAMESDUFF,NA,CO. CAVAN
1004564,Marked Fuel Trader's Licence                                                                        ,VAUGHAN OIL CO LTD,VAUGHAN OIL CO LTD,ENNISTYMON ROAD,MILTOWN MALBAY,NA,CO. CLARE
1006213,Marked Fuel Trader's Licence                                                                        ,TULGLAN LTD,TULGLAN LTD,COURTHOUSE ROAD,TULLA,NA,CO. CLARE
1007336,Marked Fuel Trader's Licence                                                                        ,TERESA POWER,NA,KNOCKERRA,COORACLARE,NA,CO. CLARE
1004980,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,MIDWESTERN OIL,DOORA,ENNIS,NA,CO. CLARE
1005281,Marked Fuel Trader's Licence                                                                        ,ROADSTONE LTD,NA,BUNRATTY,NA,NA,CO. CLARE
1014159,Marked Fuel Trader's Licence                                                                        ,PETROGAS GROUP LTD,NA,DARRAGH,ENNIS,NA,CO. CLARE
1003884,Marked Fuel Trader's Licence                                                                        ,PEADAR O'KEEFFE OIL LTD,PEADER O'KEEFFE OIL LTD,DRUMCLIFFE ROAD,ENNIS,NA,CO. CLARE
1010609,Marked Fuel Trader's Licence                                                                        ,PEADAR O'KEEFFE OIL LIMITED,PEADAR O KEEFFE OIL LTD,KILDYSART ROAD,CLARECASTLE,NA,CO. CLARE
1015329,Marked Fuel Trader's Licence                                                                        ,PAUL O' DWYER MAURA COUGHLAN ELEANOR O'DWYER AND ANITA O' DWYER,P O'DWYER,TROMORA EAST,QUILTY,ENNIS,CO. CLARE
1005647,Marked Fuel Trader's Licence                                                                        ,PATRICK J RYAN,RYAN OIL,MILL YARD,SIXMILEBRIDGE,NA,CO. CLARE
1005536,Marked Fuel Trader's Licence                                                                        ,NIALL SMYTH,SMYTHS,FEAKLE,NA,NA,CO. CLARE
1006269,Marked Fuel Trader's Licence                                                                        ,NATIONAL OIL RESERVES AGENCY LTD,NATIONAL OIL RESERVES AGENCY,SHANNON AVIATION FUELS TERMINAL,SHANNON,NA,CO. CLARE
1005741,Marked Fuel Trader's Licence                                                                        ,MICHAEL RODGERS,NA,CHURCH STREET,SCARIFF,NA,CO. CLARE
1004561,Marked Fuel Trader's Licence                                                                        ,MICHAEL O'REILLY OIL CO LTD,MICHAEL O'REILLY OIL CO LTD,EDENVALE,ENNIS,NA,CO. CLARE
1003971,Marked Fuel Trader's Licence                                                                        ,MICHAEL FITZPATRICK,MICHAEL FITZPATRICK,KILMIHIL,NA,NA,CO. CLARE
1004558,Marked Fuel Trader's Licence                                                                        ,MICHAEL & MARY GALVIN LTD,GALVINS,MOUNTSHANNON,SCARRIFF,NA,CO. CLARE
1011444,Marked Fuel Trader's Licence                                                                        ,MCGRATHS'S EXPRESS STOP LTD,MCGRATHS EXPRESS STOP LTD,FEIGHMORE,CONNOLLY,ENNIS,CO. CLARE
1004701,Marked Fuel Trader's Licence                                                                        ,M V TUOHY COOSE LTD,M V TUOHY COOSE LTD,COOSE,WHITEGATE,NA,CO. CLARE
1009646,Marked Fuel Trader's Licence                                                                        ,LINDA EXPRESS LTD,LINDA EXPRESS LTD,NEWLINE SERVICES STATION,SHAUTRAUD,KILLALOE,CO. CLARE
1013228,Marked Fuel Trader's Licence                                                                        ,LIFFEY MILLS LIMITED,NA,BALLEYMALEY,ENNIS,NA,CO. CLARE
1005412,Marked Fuel Trader's Licence                                                                        ,LEONARD VAUGHAN CRASH REPAIRS LTD,LEONARD VAUGHAN CRASH REPAIRS LTD,SPANISH POINT ROAD,MILTOWN MALBAY,NA,CO. CLARE
1005384,Marked Fuel Trader's Licence                                                                        ,LAURENCE O'BRIEN,O'BRIENS COUNTRY STORES,KILMALEY,ENNIS,NA,CO. CLARE
1006525,Marked Fuel Trader's Licence                                                                        ,LARKIN'S STORE LTD,NA,FORTHENRY,BALLINA,KILLALOE,CO. CLARE
1009636,Marked Fuel Trader's Licence                                                                        ,LAMIKADO,LEONARD VAUGHAN'S,COORACLARE,NA,NA,CO. CLARE
1008422,Marked Fuel Trader's Licence                                                                        ,LAKEFIELD SERVICE STATION & AGRI SUPPLIES LIMITED,NA,ENNIS ROAD,COROFIN,NA,CO. CLARE
1008784,Marked Fuel Trader's Licence                                                                        ,L & M KEATING (MARITIME) LTD,KILRUSH MARINA,THE MARINA CENTRE,KILRUSH,NA,CO. CLARE
1004676,Marked Fuel Trader's Licence                                                                        ,KILDYSART MOTORS LIMITED,KILDYSART MOTORS LIMITED,ENNIS ROAD,KILDYSART,NA,CO. CLARE
1005658,Marked Fuel Trader's Licence                                                                        ,KERRY AGRIBUSINESS TRADING LTD,KERRY AGRI,DREWSBOROUGH ROAD,SCARIFF,NA,CO. CLARE
1005664,Marked Fuel Trader's Licence                                                                        ,KERRY AGRIBUSINESS TRADING LTD,KERRY AGRI,BELLA CROSS,CARRIGAHOLT,KILRUSH,CO. CLARE
1005665,Marked Fuel Trader's Licence                                                                        ,KERRY AGRIBUSINESS TRADING LTD,KERRY AGRI,DEERPARK,ENNISTYMON,NA,CO. CLARE
1005650,Marked Fuel Trader's Licence                                                                        ,KERRY AGRI BUSINESS TRADING LTD,KERRY AGRI,KILRUSH,NA,NA,CO. CLARE
1005652,Marked Fuel Trader's Licence                                                                        ,KERRY AGRI BUSINESS TRADING LTD,KERRY AGRI,QUINN ROAD,ENNIS,NA,CO. CLARE
1005651,Marked Fuel Trader's Licence                                                                        ,KERRY AGRI BUSINESS TRADING LTD,KERRY AGRI,COROFIN,NA,NA,CO. CLARE
1010487,Marked Fuel Trader's Licence                                                                        ,JOSEPH DAVID HALPIN,HANLANS SERVICE STATION,LIMERICK ROAD,NEWMARKED-ON-FERGUS,NA,CO. CLARE
1012658,Marked Fuel Trader's Licence                                                                        ,JOHN O'MARA GENERAL MERCHANT LIMITED,JOHN O'MARA GENERAL MERCHANT LIMITED,FLAGMOUNT,FEAKLE,NA,CO. CLARE
1005212,Marked Fuel Trader's Licence                                                                        ,JOHN J O'GORMAN,O'GORMAN'S,MAIN STREET,KILFENORA,NA,CO. CLARE
1005519,Marked Fuel Trader's Licence                                                                        ,JOHN F GALVIN,GALVIN BROS,CORNMARKET STREET,ENNIS,NA,CO. CLARE
1006021,Marked Fuel Trader's Licence                                                                        ,JOHN CROWLEY & VINCENT CROWLEY,CROWLEYS GARAGE,ENNIS ROAD,KILRUSH,NA,CO. CLARE
1014797,Marked Fuel Trader's Licence                                                                        ,JOHN  TIERNEY,NA,MARKET STREET,COROFIN,NA,CO. CLARE
1011140,Marked Fuel Trader's Licence                                                                        ,GUERIN & CONSIDINE LTD,NA,BEAHY,LISCANNOR,NA,CO. CLARE
1009928,Marked Fuel Trader's Licence                                                                        ,GERARD TREACY,T/A TREACY'S GARAGE SCARIFF,DREWSBORO,SCARIFF,NA,CO. CLARE
1004066,Marked Fuel Trader's Licence                                                                        ,EUROPHIL SERVICE STATION LIMITED,NILANDS GALA STORE,DREWSBOROUGH ROAD,TUAMGRANEY,SCARIFF,CO. CLARE
1014553,Marked Fuel Trader's Licence                                                                        ,DOCKER FOODS LIMITED,THE COUNTRY STORE,MAIN STREET,BROADFORD,NA,CO. CLARE
1004453,Marked Fuel Trader's Licence                                                                        ,CORRIB OIL CO LTD,CORRIB OIL CO LTD,LIMERICK ROAD,ENNIS,NA,CO. CLARE
1004529,Marked Fuel Trader's Licence                                                                        ,CLARE OIL CO LTD,CLARE OIL CO LTD,TIERMAC LANE,ENNIS,NA,CO. CLARE
1005188,Marked Fuel Trader's Licence                                                                        ,CLARE LEADING STORE LTD,DAN MCINERNEY & SONS,MILL ROAD,ENNIS,NA,CO. CLARE
1004259,Marked Fuel Trader's Licence                                                                        ,BURRENSIDE OIL,BURRENSIDE OIL,CRUSHEEN,ENNIS,NA,CO. CLARE
1004727,Marked Fuel Trader's Licence                                                                        ,BRIAN & TERENCE CLARKE,CLARKES,CRUSHEEN,NA,NA,CO. CLARE
1008521,Marked Fuel Trader's Licence                                                                        ,BARRA OIL LTD,ENNISTYMON MOTOR WORKS,ENNIS ROAD,ENNISTYMON,NA,CO. CLARE
1003833,Marked Fuel Trader's Licence                                                                        ,BARRA OIL LTD,BARRA OIL LTD,39 WILLSGROVE,CAHERCALLA ROAD,ENNIS,CO. CLARE
1007751,Marked Fuel Trader's Licence                                                                        ,ARAN VIEW FILLING STATION LIMITED,ARAN VIEW FILLING STATION LIMITED,DOOLIN CROSS,DOOLIN,NA,CO. CLARE
1008586,Marked Fuel Trader's Licence                                                                        ,ANTHONY NEYLON,NEYLONS,DRUMDIGUS,KILMURRAY MCMAHON,KILRUSH,CO. CLARE
1004662,Marked Fuel Trader's Licence                                                                        ,ALAN M O'CALLAGHAN,O'CALLAGHAN FUELS,KILMURRY,SIXMILEBRIDGE,NA,CO. CLARE
1009986,Marked Fuel Trader's Licence                                                                        ,ADSVGN - VAUGHAN'S GARAGE LTD,NA,ENNISTYMON ROAD,MILTOWN MALBAY,NA,CO. CLARE
1005989,Marked Fuel Trader's Licence                                                                        ,ZENITH ENERGY BANTRY BAY TERMINAL LTD,ZENITH ENERGY BANTRY BAY TERMINAL LTD,WHIDDY ISLAND,BANTRY,NA,CO. CORK
1006489,Marked Fuel Trader's Licence                                                                        ,WESTLINK SERVICE STATION LTD,WESTLINK SERVICE STATION LTD,LOWER POULADUFF ROAD,NA,NA,CO. CORK
1005632,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL COMPANY LTD,WEST CORK OIL COMPANY LTD,KILCRONAN,WHITECHURCH,NA,CO. CORK
1005444,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL CO LTD,WEST CORK OIL CO LTD,LEHINA,LISLEVANE,BANDON,CO. CORK
1004942,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL CO LTD,NA,KILLEENLEIGH,CAHERAGH,DRIMOLEAGUE,CO. CORK
1011889,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL CO LTD,TRIA SERVICE STATION,THE SQUARE,BLARNEY,NA,CO. CORK
1010000,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL CO LTD,NA,CAHERAGH,DRIMOLEAGUE,NA,CO. CORK
1007318,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL CO LTD,BROSNAN OIL,LISCARROL,MALLOW,NA,CO. CORK
1014998,Marked Fuel Trader's Licence                                                                        ,WEST CORK OIL CO LTD,NA,HURLEY'S GARAGE,GLEN STREET,SKIBBEREEN,CO. CORK
1007870,Marked Fuel Trader's Licence                                                                        ,VALERO MARKETING IRELAND LTD,VALERO MARKETING IRELAND LTD,LINK ROAD,BALLINCOLLIG,NA,CO. CORK
1014697,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS UNLIMITED COMPANY,TOP OIL,GRANGE,OVENS,NA,CO. CORK
1004928,Marked Fuel Trader's Licence                                                                        ,TEDCASTLES OIL PRODUCTS,TOP CORK,EASTGATE VILLAGE,LITTLE ISLAND,NA,CO. CORK
1005038,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,TOP MCDONALDS OIL,KINSALE ROAD INDUSTRIAL ESTATE,KINSALE ROAD,NA,CO. CORK
1006358,Marked Fuel Trader's Licence                                                                        ,TEDCASTLE OIL PRODUCTS,TOP OIL COBH,COBH HARBOUR,COBH,NA,CO. CORK
1004709,Marked Fuel Trader's Licence                                                                        ,SUTTONS OIL LTD,SUTTONS OIL LTD,MONAHAN ROAD,CORK,NA,CO. CORK
1005061,Marked Fuel Trader's Licence                                                                        ,STAR FUELS AND FARM SUPPLIES LTD,STAR FUELS AND FARM SUPPLIES LTD,BANK PLACE,MITCHELSTOWN,NA,CO. CORK
1004931,Marked Fuel Trader's Licence                                                                        ,SOUTH COAST CRUISERS LTD,EAST FERRY MARINA,EAST FERRY MARINA,COBH,NA,CO. CORK
1009503,Marked Fuel Trader's Licence                                                                        ,SIRIO RETAIL OPERATIONS LIMITED,SIRIO RETAIL OPERATIONS LTD,BALLYHOOLEY ROAD,BALLYVOLANE,NA,CO. CORK
1011836,Marked Fuel Trader's Licence                                                                        ,SIRIO RETAIL OPERATIONS LIMITED,NA,COBH CROSS,CARRIGTOHILL,NA,CO. CORK
1010714,Marked Fuel Trader's Licence                                                                        ,SILVERSTREAM SERVICE STATION LTD,SILVERSTREAM SERVICE STATION LTD,MALLOW ROAD,FERMOY TOWN,NA,CO. CORK
1004523,Marked Fuel Trader's Licence                                                                        ,SHREELAWN OIL COMPANY LTD,NA,MOUNT LEADER,MILLSTREET,NA,CO. CORK
1004684,Marked Fuel Trader's Licence                                                                        ,SHREELAWN OIL CO LTD,SHREELAWN OIL CO LTD,COOLAGH,NEWMARKET,NA,CO. CORK
1004683,Marked Fuel Trader's Licence                                                                        ,SHREELAWN OIL CO LTD,SHREELAWN OIL CO LTD,CARHUE,KILDORRERY,NA,CO. CORK
1014127,Marked Fuel Trader's Licence                                                                        ,SHAUN & MARDY O'RIORDAN LIMITED,SHAUN & MARDY O'RIORDAN LIMITED,LOWER BLUEPOOL,KANTURK,NA,CO. CORK
1007687,Marked Fuel Trader's Licence                                                                        ,SHAMROCK PETROL FILLING STATION LIMITED,SHAMROCK PETROL FILLING STATION LIMITED,WHITES CROSS,CORK,NA,CO. CORK
1006048,Marked Fuel Trader's Licence                                                                        ,SEAN DELANEY & SONS LTD,SEAN DELANEY & SONS LTD,KILLALOUGH CROSS,GLANMIRE,NA,CO. CORK
1005013,Marked Fuel Trader's Licence                                                                        ,SEAN & JOHN BARRY,TP SERVICE STATION,INNISCARRA,NA,NA,CO. CORK
1006126,Marked Fuel Trader's Licence                                                                        ,SEAMUS HARRINGTON,HARRINGTONS CO COUNCIL CONTRACTORS,ROSSNAKILLA,TERELTON,MACROOM,CO. CORK
1005574,Marked Fuel Trader's Licence                                                                        ,SALVE MARINE LTD,SALVE MARINE LTD,LOWER ROAD,CROSSHAVEN,NA,CO. CORK
1006298,Marked Fuel Trader's Licence                                                                        ,ROYAL CORK YACHT CLUB,ROYAL CORK YACHT CLUB,CROSSHAVEN,NA,NA,CO. CORK
1004582,Marked Fuel Trader's Licence                                                                        ,ROSS OIL CO LTD,ROSS OIL CO LTD,WHITES GATE,CASHELMORE,ENNISKEANE,CO. CORK
1004576,Marked Fuel Trader's Licence                                                                        ,ROSS OIL CO LTD,ROSS OIL CO LTD,KNOCKSHANAWEE,FARNANES CROSS,FARNANES,CO. CORK
1004580,Marked Fuel Trader's Licence                                                                        ,ROSS OIL CO LTD,ROSS OIL CO LTD,CREGANE,TIMOLEAGUE,NA,CO. CORK
1014749,Marked Fuel Trader's Licence                                                                        ,ROBERT GUERIN,NA,BALLYDALY CROSS,MILLSTREET,NA,CO. CORK
